Código CIUO-08;Título SP;Descripción;Tareas;Observaciones;Ocupaciones
122;Directores de ventas, comercialización y desarrollo;Los directores de departamentos de producción y operaciones de una empresa u organización que comprende por lo menos tres directores planifican, dirigen y coordinan, bajo la dirección general de los directores y gerentes generales de sus empresas u organizaciones, y en consulta con los directores subordinados de otros departamentos o servicios, las actividades de producción de bienes o de prestación de servicios.;"Las tareas desempeñadas por lo común incluyen las siguientes: planificar, dirigir y coordinar las actividades de producción de bienes o de prestación de servicios de la empresa u organismo, dirigir el trabajo diario; vigilar el rendimiento del personal y controlar su selección y formación, evaluar los resultados y comunicar esta información a los directores responsables; representar al departamento a su cargo en los contactos con los demás sectores de la organización o con terceros. Sus tareas pueden incluir la supervisión de otros trabajadores.";Los grupos primarios que constituyen este subgrupo clasifican los puestos de dirección (producción y operaciones) que se encuentran en nueve grandes ramas de la actividad económica. Para mayor precisión en la definición de esas ramas, cabe hacer referencia a la Clasificación Industrial Internacional Uniforme de todas las Actividades Económicas (CIIU), ST/ESA/ STAT/SER.M/4/Rev.3/ADD 2, Naciones Unidas, Nueva York, 1988: ;
1221;Directores de ventas y comercialización;Los directores de departamentos de ventas y comercialización planifican, dirigen y coordinan las operaciones de ventas y comercialización de la empresa u organización bajo la conducción general de los directores responsables y en consulta con los directores de otros departamentos o servicios;"a) planificar, dirigir y coordinar las operaciones de venta y comercialización de la empresa u organización;

b) planificar y aplicar programas de venta y comercialización basados en el estado de las ventas y la evaluación del mercado;

c) fijar las listas de precios, los porcentajes de descuento y los plazos de entrega, los presupuestos para campañas de promoción de ventas, los méto- dos de venta, incentivos y campañas especiales;

d) vigilar los gastos y asegurar la utilización racional de los recursos;

e) establecer y dirigir los procedimientos operativos y administrativos;

f) planificar y dirigir el trabajo diario;

g) controlar la selección, formación y rendimiento del personal;

h) representar al departamento en sus relaciones de trabajo con otros depar- tamentos de la empresa o con terceros i) desempeñar tareas afines;

j) supervisar a otros trabajadores";;"Director de departamento, comercialización

Director de departamento, ventas"
1222;Directores de publicidad y relaciones públicas;Los directores de departamentos de publicidad y de relaciones públicas planifican, dirigen y coordinan las actividades relacionadas con la publicidad y las relaciones públicas de la empresa u organización y la información al público bajo la conducción general de los directores responsables y en consulta con los directores de otros departamentos o servicios;"a) planificar dirigir y coordinar las actividades de publicidad y relaciones públicas de la empresa u organización;

b) negociar contratos de publicidad con los representantes de periódicos, estaciones de radio y televisión, organizaciones deportivas y culturales y agencias de publicidad;

c) planificar y aplicar los programas de información destinados a las autoridades, los medios de comunicación de masas y al público en general sobre los planes, logros y opiniones de la empresa u organización;

d) planificar y dirigir las actividades de recaudación de fondos realizadas por cuenta de organizaciones educacionales, humanitarias y otras organizaciones sin fines lucrativos;

e) vigilar los gastos y asegurar la utilización racional de los recursos;

f) establecer y dirigir los procedimientos operativos y administrativos;

g) planificar y dirigir el trabajo diario;

h) controlar la selección, formación y rendimiento del personal;

i) representar al departamento en sus relaciones de trabajo con otros depar- tamentos de la empresa o con terceros;

j) desempeñar tareas afines;

k) supervisar a otros trabajadores";;"Director de departamento, publicidad

Director de departamento, relaciones públicas"
1223;Directores de investigación y desarrollo;Los directores de departamentos de investigaciones y desarrollo planifican, dirigen y coordinan las actividades de investigación y desarrollo de la empresa u organización bajo la conducción general de los directores responsables y en consulta con los directores de otros departamentos o servicios;"a) planificar, dirigir y coordinar las actividades de investigación y desarrollo, tanto las de la propia empresa u organización como las confiadas a otras organizaciones de investigación, a fin de crear nuevos procedimientos y productos o modos de utilización de materiales nuevos o perfeccionados;

b) planificar el programa general de investigación y desarrollo de la empresa u organización, definir las metas de los proyectos y fijar sus presupuestos;

c) vigilar los gastos y asegurar la utilización racional de los recursos;

d) establecer y dirigir los procedimientos operativos y administrativos;

e) planificar y dirigir el trabajo diario;

f) controlar la selección, formación y rendimiento del personal;

g) representar al departamento en sus relaciones de trabajo con otros depar- tamentos de la empresa o con terceros;

h) desempeñar tareas afines;

i) supervisar a otros trabajadores";;Director de departamento, investigación y desarrollo
13;Directores y gerentes de producción y operaciones;Los gerentes de empresa dirigen pequeñas empresas de todo tipo por cuenta propia o en representación de los propietarios, con la asistencia de otro gerente como máximo y de personal subordinado;"Las tareas desempeñadas por lo común por los trabajadores comprendidos en este subgrupo principal incluyen las siguientes:

planificar, definir y aplicar la política de la empresa; dirigir las operaciones cotidianas y analizar sus resultados; negociar con los abastecedores y los clientes, así como con otras empresas; planificar y controlar la utilización de los recursos y la selección del personal; presentar informes a los propietarios, si los hay; supervisar a otros trabajadores";;
131;Directores de producción agropecuaria, silvicultura y pesca;Los gerentes de empresa dirigen pequeñas empresas de todo tipo por cuenta propia o en representación de los propietarios,con la asistencia de otro gerente como máximo y de personal subordinado;"Las tareas desempeñadas por lo común incluyen las siguientes: planificar, definir y aplicar la política de la empresa; dirigir las operaciones cotidianas y analizar sus resultados; negociar con los abastecedores y clientes, así como con otras empresas; planificar y controlar la utilización de los recursos y la selección del personal; presentar informes a los propietarios, si los hay; supervisar a otros trabajadores";"Los grupos primarios que constituyen este subgrupo clasifican los puestos de gerentes que se encuentran en nueve grandes ramas de la actividad económica. Para mayor precisión en la definición de esas ramas, cabe hacer referencia a la Clasificación Industrial Internacional Uniforme de Todas las Actividades Económicas (CIIU), ST/ESA/STAT/SER.M/4/ Rev.3/ADD 2; Naciones Unidas, Nueva York, 1988: ";
1311;Directores de producción agropecuaria y silvicultura;Los directores de departamentos de producción y operaciones ocupados en la agricultura, la caza, la silvicultura y la pesca planifican, dirigen y coordinan las actividades de empresas agrícolas y otras similares que producen bienes bajo la conducción general de los directores responsables y en consulta con los directores de otros departamentos o servicios.;"a) planificar, dirigir y coordinar las actividades de producción de bienes;

b) asegurar la utilización racional de los recursos y el cumplimiento de las normas cuantitativas de producción;

c) planificar y dirigir el trabajo diario;

d) vigilar los gastos;

e) establecer y dirigir los procedimientos operativos y administrativos;

f) vigilar el cumplimiento de las normas de seguridad en el trabajo y los procedimientos conexos;

g) controlar la selección, formación y rendimiento del personal;

h) representar al departamento en sus relaciones de trabajo con otros departamentos de la empresa o con terceros;

i) desempeñar tareas afines;

j) supervisar a otros trabajadores.";;"Director de departamento, producción y operaciones/agricultura

Director de departamento, producción y operaciones/caza

Director de departamento, producción y operaciones/pesca

Director de departamento, producción y operaciones/silvicultura
Entre las ocupaciones afines, clasificadas en otra parte, figuran las siguientes:

Agricultor - 6111

Criador, ganado - 6121

Director general, empresa/agricultura - 1210

Gerente, agricultura - 1311"
1312;Directores de producción de piscicultura y pesca;Los directores de departamentos de producción y operaciones ocupados en la agricultura, la caza, la silvicultura y la pesca planifican, dirigen y coordinan las actividades de empresas agrícolas y otras similares que producen bienes bajo la conducción general de los directores responsables y en consulta con los directores de otros departamentos o servicios.;"a) planificar, dirigir y coordinar las actividades de producción de bienes;

b) asegurar la utilización racional de los recursos y el cumplimiento de las normas cuantitativas de producción;

c) planificar y dirigir el trabajo diario;

d) vigilar los gastos;

e) establecer y dirigir los procedimientos operativos y administrativos;

f) vigilar el cumplimiento de las normas de seguridad en el trabajo y los procedimientos conexos;

g) controlar la selección, formación y rendimiento del personal;

h) representar al departamento en sus relaciones de trabajo con otros departamentos de la empresa o con terceros;

i) desempeñar tareas afines;

j) supervisar a otros trabajadores.";;"Director de departamento, producción y operaciones/agricultura

Director de departamento, producción y operaciones/caza

Director de departamento, producción y operaciones/pesca

Director de departamento, producción y operaciones/silvicultura
Entre las ocupaciones afines, clasificadas en otra parte, figuran las siguientes:

Agricultor - 6111

Criador, ganado - 6121

Director general, empresa/agricultura - 1210

Gerente, agricultura - 1311"
132;Directores de industrias manufactureras, de minería, construcción y distribución;;;;
1321;Directores de industrias manufactureras;Los directores de departamentos de producción y operaciones de las industrias manufactureras planifican, dirigen y coordinan las actividades de producción de bienes y de fabricación de una empresa bajo la conducción general de los directores responsables y en consulta con los directores de otros departamentos o servicios.;"a) planificar, dirigir y coordinar las actividades de producción de bienes o la extracción de minerales sólidos de minas subterráneas, de superficie y de canteras o la producción y distribución de electricidad, gas y agua;

b) asegurar la utilización racional de los recursos y el cumplimiento de las normas cuantitativas de producción;

c) planificar y dirigir las operaciones de la producción diaria;

d) vigilar los gastos;

e) establecer y dirigir los procedimientos operativos y administrativos;

f) vigilar el cumplimiento de las normas de seguridad en el trabajo y los procedimientos conexos;

g) controlar la selección, formación y rendimiento del personal;

h) representar al departamento en sus relaciones de trabajo con otros departamentos de la empresa o con terceros;

i) desempeñar tareas afines;

j) supervisar a otros trabajadores.";;"Director de departamento, producción y operaciones/industria manufacturera
Entre las ocupaciones afines, clasificadas en otra parte, figuran las siguientes:

Director general, empresa/industria manufacturera - 1210

Gerente, industria manufacturera - 1312"
1322;Directores de explotaciones de minería;Los directores de departamentos de producción y operaciones de las industrias manufactureras planifican, dirigen y coordinan las actividades de producción de bienes y de fabricación de una empresa bajo la conducción general de los directores responsables y en consulta con los directores de otros departamentos o servicios.;"a) planificar, dirigir y coordinar las actividades de producción de bienes o la extracción de minerales sólidos de minas subterráneas, de superficie y de canteras o la producción y distribución de electricidad, gas y agua;

b) asegurar la utilización racional de los recursos y el cumplimiento de las normas cuantitativas de producción;

c) planificar y dirigir las operaciones de la producción diaria;

d) vigilar los gastos;

e) establecer y dirigir los procedimientos operativos y administrativos;

f) vigilar el cumplimiento de las normas de seguridad en el trabajo y los procedimientos conexos;

g) controlar la selección, formación y rendimiento del personal;

h) representar al departamento en sus relaciones de trabajo con otros departamentos de la empresa o con terceros;

i) desempeñar tareas afines;

j) supervisar a otros trabajadores.";;"Director de departamento, producción y operaciones/industria manufacturera
Entre las ocupaciones afines, clasificadas en otra parte, figuran las siguientes:

Director general, empresa/industria manufacturera - 1210

Gerente, industria manufacturera - 1312"
1323;Directores de empresas de construcción;Los directores de departamentos de producción y operaciones de empresas de construcción y obras públicas planifican, dirigen y coordinan las actividades de una empresa bajo la conducción general de los directores responsables y en consulta con los directores de otros departamentos o servicios.;"a) planificar, dirigir y coordinar las actividades relativas a la construcción de edificios y a las obras públicas;

b) asegurar la utilización racional de los recursos y el cumplimiento de las normas cuantitativas de producción;

c) planificar y dirigir el trabajo diario;

d) vigilar los gastos;

e) establecer y dirigir los procedimientos operativos y administrativos;

f) vigilar el cumplimiento de las normas de seguridad en el trabajo y los procedimientos conexos;

g) controlar la selección, formación y rendimiento del personal;

h) representar al departamento en sus relaciones de trabajo con otros departamentos de la empresa o con terceros;

i) desempeñar tareas afines;

j) supervisar a otros trabajadores.";;"Director de departamento, producción y operaciones/construcción y obras públicas
Entre las ocupaciones afines, clasificadas en otra parte, figuran las siguientes:

Director general, empresa/construcción y obras públicas - 1210

Gerente, construcción - 1313"
1324;Directores de empresas de abastecimiento, distribución y afines;Los directores de departamentos de producción y operaciones de empresas de transporte, almacenamiento y comunicaciones planifican, dirigen y coordinan las actividades de servicio de la empresa bajo la conducción general de los directores responsables y en consulta con los directores de otros departamentos o servicios.;"a) planificar, dirigir y coordinar las actividades de servicio relacionadas con los transportes, el almacenamiento y las comunicaciones;

b) asegurar la utilización racional de los recursos y el cumplimiento de las normas cuantitativas de prestación de servicios;

c) planificar y dirigir las operaciones diarias de prestación de servicios;

d) vigilar los gastos;

e) establecer y dirigir los procedimientos operativos y administrativos;

f) vigilar el cumplimiento de las normas de seguridad en el trabajo y los procedimientos conexos;

g) controlar la selección, formación y rendimiento del personal;

h) representar al departamento en sus relaciones de trabajo con otros depar- tamentos de la empresa o con terceros;

i) desempeñar tareas afines;

j) supervisar a otros trabajadores.";;"Director de departamento, producción y operaciones/almacenamiento

Director de departamento, producción y operaciones/comunicaciones(correos)

Director de departamento, producción y operaciones/transporte
Entre las ocupaciones afines, clasificadas en otra parte, figuran las siguientes:

Director general, empresa/comunicaciones - 1210

Director general, empresa/transporte 1210

Gerente, almacenamiento - 1316"
133;Directores de servicios de tecnología de la información y las comunicaciones;;;;
1330;Directores de servicios de tecnología de la información y las comunicaciones;Los directores de departamentos de producción y operaciones de empresas de transporte, almacenamiento y comunicaciones planifican, dirigen y coordinan las actividades de servicio de la empresa bajo la conducción general de los directores responsables y en consulta con los directores de otros departamentos o servicios.;"a) planificar, dirigir y coordinar las actividades de servicio relacionadas con los transportes, el almacenamiento y las comunicaciones;

b) asegurar la utilización racional de los recursos y el cumplimiento de las normas cuantitativas de prestación de servicios;

c) planificar y dirigir las operaciones diarias de prestación de servicios;

d) vigilar los gastos;

e) establecer y dirigir los procedimientos operativos y administrativos;

f) vigilar el cumplimiento de las normas de seguridad en el trabajo y los procedimientos conexos;

g) controlar la selección, formación y rendimiento del personal;

h) representar al departamento en sus relaciones de trabajo con otros depar- tamentos de la empresa o con terceros;

i) desempeñar tareas afines;

j) supervisar a otros trabajadores.";;"Director de departamento, producción y operaciones/almacenamiento

Director de departamento, producción y operaciones/comunicaciones(correos)

Director de departamento, producción y operaciones/transporte
Entre las ocupaciones afines, clasificadas en otra parte, figuran las siguientes:

Director general, empresa/comunicaciones - 1210

Director general, empresa/transporte 1210

Gerente, almacenamiento - 1316"
134;Directores  y gerentes de servicios profesionales;;;;
