competencias;comp_original;parent_cod;cod
análisi investigación;Análisis e investigación;c00044;c000446
aplicar conocimiento geológico solución problema planteado obra ingeniería construcción embalse puente túnele grande edificio minería;Aplicar conocimientos geológicos en la solución de problemas planteados en obras de ingeniería como la construcción de embalses puentes túneles y grandes edificios o la minería;c00044;c000447
aplicar conocimiento principio práctica matemático estadístico actuariale descubrir solucionar problema surjan curso labor;Aplicar el conocimiento de los principios y prácticas matemáticos estadísticos y actuariales para descubrir y solucionar los problemas que surjan en el curso de su labor;c00044;c000448
aplicar conocimiento principio práctica teneduría libro fin descubrir solucionar problema surjan curso labor;Aplicar el conocimiento de los principios y prácticas de la teneduría de libros a fin de descubrir y solucionar los problemas que surjan en el curso de su labor;c00044;c000449
aplicar conocimiento técnico aparato principio práctica medicina identificar resolver problema surjan curso trabajo mantener buena condicione aparato c;Aplicar los conocimientos técnicos de los aparatos y de los principios y prácticas de la medicina para identificar y resolver los problemas que surjan en el curso de su trabajo y para mantener en buenas condiciones los aparatos c;c00044;c0004410
aplicar conocimiento técnico principio práctica grabación retoque imágene sonido identificar resolver problema surjan curso trabajo;Aplicar conocimientos técnicos de los principios y prácticas de la grabación y retoque de imágenes y sonido para identificar y resolver los problemas que surjan en el curso de su trabajo;c00044;c0004411
aplicar conocimiento técnico principio práctica manejo computadora unidade periférica identificar resolver problema surjan curso trabajo hacer reparacione ajuste poca importancia;Aplicar el conocimiento técnico de los principios y prácticas del manejo de computadoras y de unidades periféricas para identificar y resolver los problemas que surjan en el curso de su trabajo y hacer reparaciones y ajustes de poca importancia;c00044;c0004412
aplicar conocimiento técnico principio práctica materia programación tratamiento informático identificar resolver problema surjan curso trabajo;Aplicar conocimientos técnicos de los principios y prácticas en materia de programación y tratamiento informáticos para identificar y resolver los problemas que surjan en el curso de su trabajo;c00044;c0004413
aplicar medida preventiva curativa cuidado enfermería partería asesorar respecto;Aplicar medidas preventivas y curativas y cuidados de enfermería y partería y asesorar al respecto;c00111;c001113
aplicar principio modelo técnica matemático estadístico amplia gama tarea campo disciplina ingeniería agro- nomía medicina esfera ciencia exacta biológica naturale jurídica sociale asesorar tale aplicaciones;Aplicar principios modelos y técnicas matemáticos y estadísticos en una amplia gama de tareas en campos y disciplinas como la ingeniería la agro- nomía y la medicina y en otras esferas de las ciencias exactas biológicas naturales jurídicas o sociales y asesorar sobre tales aplicaciones;c00044;c0004414
aplicar resultado investigacione evaluar posibilidade explotación yacimiento petróleo ga minerale recurso hídrico subterráneos;Aplicar los resultados de las investigaciones para evaluar las posibilidades de explotación de yacimientos de petróleo gas y otros minerales y de recursos hídricos subterráneos;c00044;c0004415
aprendizaje reconocimiento;El aprendizaje y el reconocimiento;c02202;c022028
apropiamiento soportar desarrollo implementacion herramienta inteligentes;Y apropiamiento   soportar en el desarrollo e implementacion de herramientas inteligentes;c00025;c0002510
apto realizar practica profesionale mese haber culminado estudio universitario conocimiento valorara experiencia previa practicante pre profesional manejando tema afine deseable manejo herramienta office nivel intermedio avanzado deseable manejo tema innovacion transformacion tecnologica deseable conocimiento marketing digital habilidad realizar tallere acercar tecnologia gente sede rep lima;Apto para realizar practicas profesionales por  meses haber culminado estudios universitarios  conocimientos  se valorara la experiencia previa como practicante pre profesional manejando temas afines deseable manejo de herramientas office  a nivel intermedio  avanzado deseable manejo de temas de innovacion y transformacion tecnologica deseable conocimientos de marketing digital habilidad para realizar talleres para acercar la tecnologia a la gente  sede  rep lima;c00111;c001114
archivar documento correspondencia;Archivar documentos y correspondencia;c02202;c022029
archivar documentos;Archivar documentos;c02202;c0220210
asegurando acceso democratizacion informacion dar guidance equipo tecnologia construccion propio dashboard necesitamo venga conocimiento demostrable sql aspecto tecnico bi excelente habilidade analitica resolucion problema conocimiento experto herramienta visualizacion dato proactividad excelente comunicacion trabajo equipo seria golazo si adema trae experiencia relevante campo busines intelligence conocimiento industria it conocimiento python conocimiento tableau herramienta similare ( ejemplo powerbi looker ) oportunidad ser parte escriben historia significa sumarte equipo liderando transformacion banco hacia producto totalmente digital;Asegurando el acceso y la democratizacion de la informacion dar guidance a los equipos de tecnologia en la construccion de sus propios dashboards     necesitamos que vengas con     conocimientos demostrables de sql y los aspectos tecnicos de bi excelente habilidades analiticas y de resolucion de problemas conocimiento experto de herramientas de visualizacion de datos proactividad excelente comunicacion y trabajo en equipo     y seria un golazo si ademas traes     experiencia relevante en el campo de business intelligence conocimientos de la industria it conocimientos de python conocimientos en tableau o herramientas similares (ejemplos powerbi looker)        es la oportunidad de ser parte de quienes escriben la historia significa sumarte al equipo que esta liderando la transformacion del banco hacia un producto totalmente digital;c00111;c001115
asegurando mejor desempeño aportacion mejorar diferente proceso auditado planear conjunto gerenta programa revision sistema gestion seguridad informacion analizar desempeño componente sistema gestion seguridad informacion identificar oportunidade mejora continua experiencia auditoria ( año ) ciberseguridad ( año ) sysadmin ( año ) manejo personal cargo ( año ) competencia enfoque resultado planificacion organizacion negociacion ofrecemo contratacion directa profuturo prestacione superiore ley ubicacion boulevard adolfo lopez mateos;Asegurando el mejor desempeño y aportacion para mejorar los diferentes procesos auditados planear en conjunto con el gerenta el programa de revision del sistema de gestion de seguridad de la informacion analizar el desempeño de los componentes del sistema de gestion de seguridad de la informacion e identificar oportunidades para la mejora continua de este     experiencia  auditoria de ti ( a  años) ciberseguridad ( a  años) sysadmin ( a  años) manejo de personal a cargo ( a  años)     competencias  enfoque a resultados planificacion y organizacion negociacion     ofrecemos     contratacion directa con profuturo y prestaciones superiores de ley ubicacion boulevard adolfo lopez mateos ;c00111;c001116
asegurando toda herramienta necesaria sigamo siendo empresa lider cloud cybersecurity objetivo fundamentale definicion evolucion mejor mapa sistema negocio cloud cybersecurity creacion ejecucion plan transformacion proceso sistema toda iniciativa necesaria soportar estrategia cortomediolargo plazo compañia desplegar arquitectura abierta;Asegurando que tengan todas las herramientas necesarias para que sigamos siendo una empresa lider en cloud y cybersecurity  nuestros objetivos fundamentales son  definicion y evolucion del mejor mapa de sistemas para los negocios de cloud y cybersecurity creacion y ejecucion del plan de transformacion de procesos y sistemas con todas las iniciativas necesarias para soportar la estrategia de cortomediolargo plazo de la compañia desplegar una arquitectura abierta;c00025;c0002511
asegurar compra biene servicio representación diverso organismo tasar valor producto biene inmueble biene venderlo subasta . pueden recibir orientación directore empresa profesionale científico intelectuale .;Asegurar la compra de bienes y servicios en representación de diversos organismos o tasar el valor de productos bienes inmuebles y otros bienes y venderlos en subastas. pueden recibir orientación de directores de empresa o de profesionales científicos e intelectuales.;c02200;c022002
asegurar utilización racional recurso cumplimiento norma aplicable volumen operaciones;Asegurar la utilización racional de los recursos y el cumplimiento de las normas aplicables al volumen de las operaciones;c02200;c022003
asegurar utilización racional recurso cumplimiento norma cuantitativa prestación servicios;Asegurar la utilización racional de los recursos y el cumplimiento de las normas cuantitativas de prestación de servicios;c02200;c022004
asegurar utilización racional recurso cumplimiento norma cuantitativa producción;Asegurar la utilización racional de los recursos y el cumplimiento de las normas cuantitativas de producción;c02200;c022005
asegurar utilización racional recurso cumplimiento programas;Asegurar la utilización racional de los recursos y el cumplimiento de los programas;c02200;c022006
asegurar venta mayorista diverso producto máquina instalacione técnica representación fabricante importadores;Asegurar la venta mayorista de diversos productos o de máquinas e instalaciones técnicas en representación de los fabricantes o importadores;c00025;c0002512
asesorar aspecto respecto proceso método extracción producción asegurar resultado óptimos;Asesorar en estos aspectos y respecto de los procesos y métodos de extracción y producción y asegurar resultados óptimos;c00044;c0004416
asesorar asunto político gobierno nacional gobierno federado provincia región colectividad local;Asesorar en los asuntos políticos al gobierno nacional o al gobierno del estado federado o de la provincia región o colectividad local;c02202;c0220211
asesorar cliente agente cuestione jurídica técnica caso individuales;Asesorar a clientes y agentes sobre cuestiones jurídicas o técnicas en casos individuales;c02202;c0220212
asesorar cuestione derecho surgen plantean relación problema personale comerciale administrativo representara clientes;Asesorar sobre cuestiones de derecho que surgen o se plantean en relación con problemas personales comerciales o administrativos y representara sus clientes;c02202;c0220213
asesorar disposición eficiente instalaciones;Asesorar sobre la disposición más eficiente de las instalaciones;c02200;c022007
asesorar gobierno nacional gobierno federado provincia región colectividad local asunto políticos;Asesorar al gobierno nacional o al gobierno del estado federado o de la provincia región o colectividad local en asuntos políticos;c02202;c0220214
asesorar marca patente ayudar preparar solicitude marca patente examinar solicitude presentada registro preparar informe exponiendo razone cuale debiera conceder denegar marca patente;Asesorar sobre marcas y patentes ayudar a preparar solicitudes de marcas o patentes o a examinar las solicitudes presentadas para su registro y preparar informes exponiendo las razones por las cuales se debiera conceder o denegar una marca o patente;c02200;c022008
asesorar negociación condicione organización préstamo colocación accione obligacione mercado financiero fin reunir capital cliente participar trámite pertinentes;Asesorar sobre la negociación de condiciones y organización de préstamos y sobre la colocación de acciones y obligaciones en el mercado financiero a fin de reunir capital para sus clientes y participar en los trámites pertinentes;c02200;c022009
asesorar preparación presupuesto público así leye decreto disposicione reglamentaria comprendida enmien- das;Asesorar en la preparación de los presupuestos públicos así como de las leyes decretos y disposiciones reglamentarias comprendidas las enmien- das;c02200;c0220010
asesorar seguro operacione proyecto instalacione riesgo importante especiale negociar condicione tale seguro establecer póliza pertinentes;Asesorar sobre los seguros para operaciones proyectos instalaciones o riesgos importantes o especiales negociar las condiciones de tales seguros y establecer las pólizas pertinentes;c00044;c0004417
asistir cliente negociación acuerdo arreglo caso litigio conflicto;Asistir a sus clientes en la negociación de acuerdos o arreglos en caso de litigio o conflicto;c02200;c0220011
ayudar cliente conseguir certificado visado necesario viajes;Ayudar a los clientes a conseguir los certificados y visados necesarios para sus viajes;c02200;c0220012
ayudar computadorización llevar registro libro contabilidad;ayudar en la computadorización y a llevar registros y libros de contabilidad;c02202;c0220215
ayudar jefe unidad organizar recepción acogida visitante miembro personal;Ayudar al jefe de la unidad a organizar la recepción y acogida de visitantes o miembros del personal;c02200;c0220013
ayudar jefe unidad personal estudio encuesta análisi carácter administrativo;Ayudar al jefe de la unidad y a otro personal en estudios encuestas y análisis de carácter administrativo;c02200;c0220014
ayudar planificar ejecutar cálculo matemático estadístico actuariales;Ayudar a planificar y a ejecutar cálculos matemáticos estadísticos y actuariales;c02200;c0220015
ayudar supervisión técnica elaboración mantenimiento utilización registro planilla muestreo censo encuestas;Ayudar en la supervisión técnica de la elaboración mantenimiento y utilización de registros y de planillas de muestreo para censos y encuestas;c02200;c0220016
ayudar usuario microcomputadora microordenadore siste- ma programación normalizado momento instalación surjan problemas;Ayudar a los usuarios de microcomputadoras y microordenadores y de siste- mas de programación normalizados en el momento de la instalación y cuando surjan problemas;c00025;c0002513
ayudar usuario microcomputadora sistema programación normalizado momento instalación surjan problema concierne utilización;ayudar a los usuarios de microcomputadoras y de sistemas de programación normalizados en el momento de la instalación y cuando surjan problemas en lo que concierne a su utilización;c00025;c0002514
ayudara preparar presupuesto controlar gasto redactar contrato establecer solicitude órdene compra adquisición;Ayudara preparar presupuestos a controlar gastos a redactar contratos y a establecer solicitudes y órdenes de compra o adquisición;c02200;c0220017
añadir nuevo programa informático normalizado determinada configuracione equipo sistema operativo instalar nueva unidade periféricas;Añadir nuevos programas informáticos normalizados en determinadas configuraciones de equipos y sistemas operativos e instalar nuevas unidades periféricas;c00025;c0002515
barcelona bilbao funcione trabaja equipo extraer explorar dato usando herramienta moderna lenguaje programacion pythonr aplicar tecnica avanzada modelado estadistico predictivo construir;Barcelona o bilbao     funciones  trabaja con el equipo para extraer y explorar datos usando herramientas modernas y lenguajes de programacion como pythonr aplicar tecnicas avanzadas de modelado estadistico y predictivo para construir;c00025;c0002516
basado estandar pmi ventaja idioma fluidez español ingle adicion listado seccione anteriore competencia generale tecnica conocimiento generale area servidores;Basado en el estandar pmi es una ventaja  idiomas fluidez en español e ingles  en adicion a lo listado en secciones anteriores  competencias generales y tecnicas  conocimientos generales en el area de servidores;c00111;c001117
big data afine certificado manejo base dato producto microsoft power bi conocimiento general tecnico uso principale componente arquitectura onpremise nube;Big data o afines certificado en manejo de bases de datos en productos microsoft  power bi conocimiento general y tecnico en el uso de los principales componentes de arquitecturas onpremise y nube;c00025;c0002517
brindar asesoramiento cuestione derecho cliente puede figurar emprender accione legale representación;Brindar asesoramiento en cuestiones de derecho a sus clientes entre los que puede figurar el estado y emprender acciones legales en su representación;c02202;c0220216
brindar asesoramiento profesional cuestione derecho defender interese pleito causa parte cliente;brindar asesoramiento profesional en cuestiones de derecho y defender los intereses pleitos o causas en que es parte su cliente;c02202;c0220217
brindar informacion manera reporte resultado ejecutar job script servidore qa experiencia testing agile deseable experiencia metodologia agile ( scrum ) habilidade requerida puesto capacidad analitica capacidad investigacion aprendizaje resolucion problema iniciativa orientacion resultado capacidad planificacion;Y brindar la informacion a manera de reporte de resultados ejecutar jobs y scripts en los servidores de qa experiencia en testing agile deseable experiencia en metodologias agile (scrum) habilidades requeridas para el puesto  capacidad analitica capacidad para la investigacion y aprendizaje resolucion de problemas iniciativa orientacion a resultados capacidad de planificacion;c00111;c001118
buen manejo relacione interpersonales;Con buen manejo de las relaciones interpersonales;c00111;c001119
buscar recuperar proporcionar documentación referencia bibliográfica profesionale empresa institucione u usuario proveniente obra colección conservada biblioteca sistema recuperación dato enlace rede información;Buscar recuperar y proporcionar documentación y referencias bibliográficas a los profesionales empresas instituciones u otros usuarios provenientes de obras de la colección conservada en la biblioteca o de sus sistemas de recuperación de datos o de enlace con otras redes de información;c02202;c0220218
calcular cantidade costo materiale construcción proyecto vigilar cumplimiento;Calcular las cantidades y costos de materiales de construcción y de proyectos y vigilar su cumplimiento;c02200;c0220018
calcular cantidade diverso materiale producción requieren fecha determinada ayudar preparar verificar programa producción;Calcular las cantidades de los diversos materiales de producción que se requieren en fechas determinadas y ayudar a preparar y verificar programas de producción;c02200;c0220019
calcular costo unitario producción;Calcular costos unitarios de producción;c02200;c0220020
calcular salario caso preparar pagar nóminas;Calcular salarios y en algunos casos preparar y pagar las nóminas;c02200;c0220021
calcular salario deben pagarse partiendo registro hora trabajada trabajo realizado cada trabajador;Calcular los salarios que deben pagarse partiendo de registros de las horas trabajadas o del trabajo realizado por cada trabajador;c02200;c0220022
calcular totale promedio porcentaje detalle presentarlo forma cuadros;Calcular totales promedios porcentajes y otros detalles y presentarlos en forma de cuadros;c02200;c0220023
calculara partir registro existente costo unitario producción;Calculara partir de los registros existentes los costos unitarios de producción;c02200;c0220024
caso necesario corregir dato registrados;En caso necesario corregir los datos registrados;c02202;c0220219
certificacion mbbbbgb experiencia min año experiencia relevante in desarrollo implementacion programa excelencia operacional mejora continua idioma ingle ( capaz sostener forma fluida conversacionesreunione tema experiencia solicitada ) ict m office herramienta comunicacion colaboracion linea ( m team zoom etc ) movilidad nacional vii competencia manejo cambio influencia ( habilidad involucrar persona dirigir mejoramiento autoridad formal ) comunicacion efectiva inteligencia emocional ( compartir mejore practicasresultado empoderar iniciativa ) empujeiniciativa hacia mejora continua proceso ( retar statu quo ) orientacion accion;O certificacion mbbbbgb   experiencia min  años de experiencia relevante in desarrollo e implementacion de programas de excelencia operacional y mejora continua   idiomas ingles (capaz de sostener de forma fluida conversacionesreuniones sobre los temas de la experiencia solicitada)   ict ms office  herramientas de comunicacion y colaboracion en linea (ms teams zoom etc)   movilidad nacional  vii competencias   manejo del cambio e influencia en otros (habilidad para involucrar a las personas y dirigir el mejoramiento sin autoridad formal sobre ellas)   comunicacion efectiva e inteligencia emocional (compartir mejores practicasresultados para empoderar las iniciativas)   empujeiniciativa hacia la mejora continua de procesos (retar el statu quo)   orientacion a la accion;c00111;c0011110
cierta actividade artística deportiva ejercicio determinada funcione carácter religioso . tale tarea pueden incluir supervisión trabajadore .;Ciertas actividades artísticas y deportivas y el ejercicio de determinadas funciones de carácter religioso. tales tareas pueden incluir la supervisión de otros trabajadores.;c02202;c0220220
clasificar registrar distribuir envío postale correspondencia documentos;Clasificar registrar y distribuir envíos postales correspondencia y documentos;c02200;c0220025
cobrar alquiler importe depósito cuenta fianza nombre propietario examinar biene inmueble despué arrendamiento período dure éste;Cobrar el alquiler y el importe de depósitos a cuenta o fianza en nombre del propietario y examinar los bienes inmuebles antes y después de su arrendamiento y durante el período que dure éste;c02200;c0220026
coelsa transformando ecosistema pago empresa enfocada sector financiero diseñamo herramienta digitales;En coelsa estamos transformando el ecosistema de pagos somos una empresa enfocada en el sector financiero diseñamos herramientas digitales;c02200;c0220027
colocar postulante empleo puesto trabajo vacante notificado oficina pública empleo asesorar materia formación pro- fesional programa pertinentes;Colocar postulantes de empleo en puestos de trabajo vacantes notificados a oficinas públicas del empleo o asesorar en materia de formación pro- fesional y programas pertinentes;c00044;c0004418
compilar tratar presentar dato matemático estadístico actuariale . pueden recibir orientación directore empresa profesionale científico intelectuale . tarea pueden incluir supervisión trabajadore .;Compilar tratar y presentar datos matemáticos estadísticos y actuariales. pueden recibir orientación de directores de empresa o de profesionales científicos e intelectuales. sus tareas pueden incluir la supervisión de otros trabajadores.;c02202;c0220221
comprobar cumplimiento requisito seguros;Comprobar el cumplimiento de los requisitos de seguros;c02200;c0220028
comprobar cumplimiento trámite obtener permiso exportación importación formalidades;Comprobar el cumplimiento de los trámites para obtener permisos de exportación o importación y otras formalidades;c02200;c0220029
comprobar validez documento transmitir documento registro accionista compañía;Comprobar la validez de documentos y transmitir documentos al registro de accionistas de una compañía;c02202;c0220222
computacion carrera afine experiencia minima año sistema uso manejo crm erp ( salesforce altamente valorado ) manejo grupo equipo desarrollo externo conocimiento basico base dato sql explotacion dato conocimiento programacion ( ie python r javascript ) experiencia integracione plataforma ( api pago altamente valorado ) ofrecemo salario competitivo acorde experiencia bono desempeño vacacione flexible programa trabaja quiera dia libre me ( day workweek ) seguro vida prestacione ley ( seguro social vacacione prima vacacional aguinald apoyo home office vale despensa ) show more;Computacion o carreras afines experiencia minima de  años en sistemas uso y manejo de crm o erps (salesforce altamente valorado) manejo de grupos o equipos de desarrollo externos conocimiento basico de bases de datos sql y explotacion de datos conocimiento de programacion (ie python  r  javascript) experiencia en integraciones entre plataformas (apis de pagos altamente valorado)  ofrecemos  salario competitivo acorde a experiencia con bonos de desempeño vacaciones flexibles programa trabaja donde quieras con  dias libres por mes ( day workweek ) seguro de vida y prestaciones de ley (seguro social vacaciones prima vacacional aguinald o apoyo home office vales de despensa) show more ;c00111;c0011111
comunicacion asertiva capacidad generar relacione trabajo profesionale positiva equipo trabajo cliente conocimiento proceso negocio ( deseable ) ingle ( deseable ) beneficio trabajo relacion dependencia prepaga galeno clase ingle in company trabajo remoto flexibilidad trabajar horario diferente necesidade puntuale compromiso personale dia habile vacacione dia libre cumpleaño despue año compu asignacion comprar articulo oficina lidere despue año enta acceso curso plataforma udemy;Comunicacion asertiva y capacidad de generar relaciones de trabajo profesionales positivas con el equipo de trabajo y clientes conocimientos de procesos de negocios (deseable) ingles (deseable)  beneficios  trabajo en relacion de dependencia prepaga galeno clases de ingles in company trabajo  remoto flexibilidad para trabajar en horario diferente por necesidades puntuales o compromisos personales dias habiles de vacaciones dia libre de cumpleaños despues de los  años la compu es tuya asignacion para comprar articulos de oficina para lideres despues de  año en enta acceso a cursos de la plataforma udemy;c00111;c0011112
concebir crear representar ejecutar obra arte espectáculo escribir artículo comunicacione libro científico carácter académico . tarea pueden incluir supervisión trabajadore .;Concebir crear representar y ejecutar obras de arte o espectáculos y escribir artículos comunicaciones y libros científicos o de carácter académico. esas tareas pueden incluir la supervisión de otros trabajadores.;c00044;c0004419
conseguir informacione disponibilidad costo ventaja diferente tipo transporte alojamiento cerciorarse deseo cliente asesorarlo viajes;Conseguir informaciones sobre disponibilidad costo y ventajas de diferentes tipos de transporte y alojamiento cerciorarse de los deseos de los clientes y asesorarlos sobre sus viajes;c02200;c0220030
conseguir trabajadore reúnan calificacione requisito previsto cumplir toda formalidade pertinente conformidad reglamentación nacional internacional aplicable exigencias;Conseguir trabajadores que reúnan las calificaciones y otros requisitos previstos y cumplir todas las formalidades pertinentes de conformidad con la reglamentación nacional o internacional aplicable y otras exigencias;c02200;c0220031
construccion modelo fisico ( tsql );Construccion de modelos fisicos (tsql);c00111;c0011113
construir mantener reparar edificio obra estructuras;Construir mantener y reparar edificios y otras obras y estructuras;c00025;c0002518
consultar dirección personal supervisión asesorar método promover utilización eficiente eficaz segura personal equipo materiale producción;Consultar con la dirección y el personal de supervisión y asesorar sobre métodos para promover la utilización eficiente eficaz y segura del personal y de los equipos y materiales de producción;c02200;c0220032
consultar dirección personal supervisión asesorar método técnica planificación producción;Consultar con la dirección y el personal de supervisión y asesorar sobre métodos y técnicas de planificación y producción;c02200;c0220033
consultar presunto empleadore organismo pertinente acerca calificacione característica trabajadore requieren;Consultar a los presuntos empleadores o a los organismos pertinentes acerca de las calificaciones y otras características de los trabajadores que requieren;c02202;c0220223
